"Position","Question","Answer"
1,"Does the Smart Choices Strategy apply just to food and drinks sold in tuckshops?","No, the Smart Choices Strategy applies to all situations where food and drink is supplied in the school environment. This includes vending machines, school excursions, school camps, fundraising, classroom rewards, school events such as celebrations and sports days, and food used in curriculum activities."
2,"Can children still bring birthday cakes to school to share with their classmates?","Yes, birthday cakes can still be brought to school on a child's birthday. This is because these foods are brought from home. The Smart Choices Strategy only applies to foods and drinks supplied by the school."
3,"Does the Smart Choices Strategy apply to food and drinks brought from home e.g. in student lunch boxes?","No, it does not apply to foods and drinks brought from home. While schools may wish to encourage healthy eating practices, the decision about the types of foods and drinks contained in a child's lunchbox is entirely a matter for individual parents."
4,"Are state schools required to implement the strategy?","Yes. The implementation of Smart Choices is mandatory in Queensland state schools and strongly encouraged for non-state schools."
5,"Does the strategy apply to both primary and secondary state schools?","Yes, the Smart Choices Strategy is mandatory for all state schools in Queensland - primary, secondary and special schools."
6,"Does the food provided by boarding schools need to be consistent with the Smart Choices strategy?","Students living as residents at boarding school receive the majority of their daily food and drink intake from these facilities, so it is important they have access to healthy food required for growth, to maintain a healthy weight and to prevent the development of chronic diseases."
7,"What does two occasions per term mean?","An occasion is any instance where food or drink is supplied to students by the school. Supply includes the offering for sale of food or drink to students."
8,"Why is the availability of RED food and drinks being limited to no more than twice per term?","It is very important that children and young people eat a wide variety of foods from the five basic food groups to ensure that their bodies get all the nutrients they need for growth and development."
9,"Why are RED food and drinks restricted for teenagers? Don't they need RED foods to meet extra energy requirements?","Compared to children, young people have higher needs for energy and nutrients during rapid growth and development."
10,"Does Smart Choices apply to the school's swimming club?","Smart Choices should be applied to all school swimming clubs, regardless of whether the school is using their own school pool or an outside pool to conduct these regular events. All foods and drinks supplied at these events should be from the GREEN or AMBER categories. If RED foods or drinks are supplied to students (e.g. through sale at the canteen), then the event would need to be counted as one of the two occasions per term when RED foods and drinks may be supplied."
11,"Does Smart Choices apply to the school's swimming carnival?","Smart Choices should be applied to all individual school swimming carnivals, regardless of whether the school is using their own school pool or an outside pool. All foods and drinks supplied at these events should be from the GREEN or AMBER categories. If RED foods or drinks are supplied to students (e.g. through sale at the canteen), then the event would need to be counted as one of the two occasions per term when RED foods and drinks may be supplied."
